Austria;Belgium;Denmark;Finland;France;Germany;Italy;Netherlands;Norway;Sweden;Switzerland;UK;Ireland;Greece;Portugal;Spain;Australia;N.Zealand;Canada;USA;Argentina;Brazil;Chile;Colombia;Mexico;Peru;Uruguay;Venezuela;Costa Rica;Ecuador;Guatemala;India;Japan;Sri Lanka;Turkey;South Africa
5397;6422;7439;5295;6448;6177;4368;7499;6575;7797;11439;7929;3897;2706;2564;2978;8108;9000;8652;10914;5285;1896;3957;2391;2843;2751;5360;9124;2301;1922;2100;701;2948;1312;2097;2914
5716;6495;7965;5490;6762;6492;4591;7614;6711;8092;11705;8017;3914;2859;2659;3046;8090;9045;8607;10920;5461;1994;4264;2400;2965;2810;5333;10058;2406;1941;2148;680;3136;1297;2194;2951
5907;6442;8095;5474;6855;6737;4823;7482;6652;8083;11297;7966;3870;2963;2672;3150;8305;9185;8534;10631;5698;2111;4392;2383;3025;2743;5402;9816;2605;1939;2177;716;3289;1301;2222;2939
6051;6608;8637;5754;6979;7177;5131;7737;6874;8288;11870;8240;4038;3040;2794;3050;8628;9630;8676;11230;5241;2221;4042;2473;3016;2682;4860;9997;2598;1975;2211;717;3554;1285;2252;2995
6519;6952;8812;6230;7398;7705;5456;8287;7204;8688;12457;8645;4282;3146;2956;3072;8791;9465;8753;11328;5559;2335;4270;2497;3155;2969;4960;9646;2715;2026;2193;753;3986;1295;2247;3041
6827;7253;9312;6658;7718;7952;5853;8202;7595;9137;13099;8857;4508;3393;3119;3436;8653;9745;8833;11402;5862;2437;4366;2540;3172;3142;5036;9002;2723;2069;2216;758;4426;1286;2221;3092
6950;7583;9747;6819;8067;8222;6203;8639;7746;9469;13354;8865;4636;3499;3330;3800;9027;9731;9277;11905;5677;2511;4465;2594;3211;3281;4858;9058;2785;2108;2223;758;4777;1297;2297;3179
7186;7862;9732;6994;8363;8386;6532;8832;7982;9917;13710;9149;4821;3841;3504;4151;9400;10132;9566;12242;5455;2463;4639;2597;3343;3334;4820;9134;2919;2090;2360;779;5129;1291;2454;3321
7567;8341;10560;7307;8819;8822;6728;9437;8316;10515;14191;9568;4986;4141;3718;4515;9849;10418;9999;12773;5926;2472;4638;2675;3594;3465;4858;9562;2961;2179;2393;821;5668;1320;2496;3450
7734;8559;10953;7670;9165;9186;6964;9798;8690;10815;14504;9752;5051;4509;3992;4762;10152;10879;10473;13419;6371;2448;4577;2689;3702;3594;4860;9841;3127;2184;2447;771;5934;1329;2504;3559
8112;8776;11160;7824;9544;9388;7366;9936;8945;10936;14727;9885;5080;4749;4164;5060;10241;11362;10946;14134;6321;2527;4984;2750;3813;3788;4974;9677;3258;2172;2530;762;6506;1284;2735;3615
8297;9072;11437;7947;9907;9397;7872;10341;9423;11219;15010;10049;5352;4951;4481;5334;10733;10682;11078;14330;6399;2554;5046;2784;3922;3831;4721;9922;3349;2253;2581;807;7152;1368;2795;3760
8621;9416;11837;8093;10267;9864;8382;10894;9551;11561;15374;10410;5770;5266;4873;5588;11148;10545;11479;14863;6578;2704;5128;2874;4073;3685;4747;10249;3497;2274;2751;809;7983;1437;2917;3819
9131;10018;12531;8878;10886;10440;8879;11462;9899;12055;16031;10552;6089;5766;4987;6032;11561;11511;11912;15179;7037;2860;5220;2976;4185;3676;4991;10262;3622;2259;2821;845;8874;1461;3002;3946
9747;10611;12686;9577;11410;10839;9367;11967;10027;12716;16904;10767;6199;6211;5473;6319;12024;11189;12050;15030;7302;3057;5231;3094;4320;3854;5184;10672;3754;2335;2919;868;9714;1499;3078;4045
10200;10970;12934;9765;11845;11077;9489;12319;10472;12748;17381;10941;6354;6624;5871;6618;12290;11576;12562;15304;7530;3278;5597;3194;4365;3916;5130;10446;3889;2409;3012;856;10040;1457;3282;4135
10771;11503;13538;10448;12264;11481;9795;12597;10922;13002;17774;11294;6663;7400;6355;7099;12404;11850;13072;15944;7635;3538;5429;3355;4602;3930;4945;10245;4118;2677;3160;834;10734;1460;3412;4109
11235;12170;13945;11085;12824;11966;10414;13081;11324;13494;18204;12025;6867;7655;7063;7661;12878;12424;13838;16689;7962;3880;5034;3499;4853;4023;4974;10625;4319;3258;3297;853;11434;1492;3477;4175
11658;12643;13751;11361;13113;12063;10914;13497;11726;13885;18414;11859;7042;7350;7048;8149;12985;12879;14205;16491;8334;4081;4992;3618;5013;4119;5123;10507;4430;3370;3426;843;11145;1517;3665;4299
11646;12441;13621;11441;12957;12041;10619;13374;12271;14183;17224;11847;7316;7722;6517;8346;13170;12489;14316;16284;8122;4187;4273;3621;5158;4326;5417;10472;4396;3456;3412;897;11344;1527;3895;4271
12201;13122;14466;11358;13466;12684;11308;13885;12930;14282;17170;12115;7302;8105;6814;8599;13559;12648;14902;16975;7965;4470;4347;3713;5244;4271;5602;10929;4506;3668;3579;889;11669;1546;4138;4267
12767;13190;14655;11355;13913;13072;11542;14177;13425;14004;17635;12384;7795;8255;7166;8833;13546;11989;15223;17567;8304;4565;4700;3793;5293;4157;5629;11251;4769;3797;3767;937;12064;1620;4224;4155
12731;13554;14826;11559;14240;13455;11869;14424;13840;14207;17662;12828;8250;8695;7340;9023;13769;12034;15680;18373;7807;4678;5011;4042;5595;4049;5888;11164;4870;3933;3862;966;12585;1690;4255;4174
13448;13861;15313;12332;14634;13993;12532;14647;14411;14721;18050;13167;8366;8904;7733;9068;14320;12284;16170;18789;8227;4890;5345;4177;5968;4181;6215;10920;4959;4027;3951;895;13163;1766;4133;4232
13759;14467;15227;12949;14766;14114;12927;14705;15076;14937;18779;12931;8541;8971;8044;9203;14412;12347;16176;18577;8206;5195;5680;4257;6320;4263;6555;10139;4911;4109;4005;938;13428;1830;4022;4390
13718;14279;15096;13134;14840;14149;13018;14525;15169;14917;18956;12747;8716;8896;8114;9186;14660;12884;16472;18856;7607;4850;5932;4255;6717;4342;6873;9841;4681;4155;3925;977;13754;1913;4087;4480
13961;14474;15563;13485;15132;14040;13064;14291;15145;15058;18560;12955;8821;8879;8280;9293;14412;12996;15779;18325;7246;4763;5035;4202;6514;4247;5972;9356;4235;4091;3703;985;14078;1977;4182;4323
14394;14474;15966;13767;15245;14329;13209;14483;15636;15315;18560;13404;8740;8866;8255;9478;14239;13184;16076;18920;7387;4498;4810;4175;6088;3594;5583;8745;4230;3871;3504;1043;14307;2050;4230;4112
14439;14833;16676;14107;15382;14783;13634;14900;16513;15908;19038;13720;9056;9067;8089;9571;15062;13666;16836;20123;7426;4643;5011;4229;6162;3676;5487;8623;4432;3928;3431;1060;14773;2125;4367;4186
14752;14977;17384;14522;15530;15140;14010;15283;17320;16189;19586;14165;9306;9316;8306;9722;15638;13664;17582;20717;6835;4914;5030;4272;6194;3666;5560;8521;4340;3995;3320;1079;15331;2186;4485;4006
15081;15195;17993;14819;15833;15469;14408;15617;17882;16505;19786;14742;9265;9440;8641;9998;15757;13880;17862;21236;7224;5202;5227;4436;5834;3946;6015;8725;4446;4016;3222;1101;15679;2263;4695;3912
15313;15541;18023;15382;16158;15701;14868;15737;18164;16949;19792;15393;9698;9375;9185;10520;16293;13891;18348;21788;7298;5270;5480;4577;5818;4192;6453;8805;4530;3682;3198;1125;16251;2252;4998;3897
15754;16252;18224;16088;16790;16160;15485;16044;18059;17232;20243;16110;10234;9784;9868;11046;16752;13816;18993;22499;7054;5155;5780;4669;5771;3766;6413;9080;4561;3971;3191;1216;17185;2279;5086;3964
16360;16744;18261;16946;17300;16558;15997;16695;18157;17524;20935;16414;10880;10111;10372;11582;17194;13869;19108;23059;6520;5224;6283;4726;5899;3237;6454;8094;4698;3888;3227;1270;17943;2307;5041;3956
16895;17197;18452;16866;17647;15929;16313;17262;18466;17609;21487;16430;11818;10015;10826;12055;17173;13687;18872;23201;6433;4920;6401;4826;6085;3008;6465;8313;4747;3903;3240;1309;18789;2424;5399;3834
17263;17451;18644;15768;17724;16650;16563;17548;18951;17276;21040;16155;11969;10204;11304;12327;16743;13374;18262;22833;6955;4888;6784;4840;6226;3028;6664;8907;4745;4061;3268;1305;19347;2519;5346;3715
17409;17645;18949;15136;17880;16891;16634;17720;19506;16969;20804;16133;12275;10201;11417;12413;16989;13373;18147;23285;7384;4782;7483;4950;6333;2953;7163;9234;5056;4074;3370;1350;19440;2599;5562;3564
17339;17406;18870;14943;17666;16645;16441;17824;19931;16524;20591;16458;12533;9982;11138;12259;17478;14032;18309;23640;7748;4937;7869;5131;6339;3030;7324;9061;5284;4010;3445;1401;19417;2740;5902;3533
17670;17902;19847;15424;17978;17028;16762;18223;20818;17066;20685;17118;13191;10136;11179;12528;18146;14551;18942;24313;8119;5145;8182;5293;6504;3351;7825;8666;5378;4109;3490;1464;19537;2852;5482;3584
18096;18270;20350;15977;18262;17299;17217;18697;21578;17646;20660;17586;14389;10321;11614;13132;18530;14909;19238;24637;7786;5280;8910;5470;6001;3573;7679;8831;5437;4059;3572;1543;19872;2971;5775;3646
18512;18487;20810;16497;18373;17420;17378;19248;22564;17901;20689;18044;15387;10543;12001;13423;19075;15144;19331;25263;8091;5313;9427;5497;6209;3599;8072;8649;5343;4077;3592;1635;20343;3047;6073;3753
18918;19139;21388;17472;18690;17709;17676;19973;23649;18375;21072;19115;16858;10902;12460;13912;19612;15407;19962;26074;8615;5411;9906;5607;6526;3783;8434;9035;5502;4115;3667;1675;20617;3205;6421;3803
19613;19475;21771;18307;19233;18029;17909;20631;24135;19137;21603;19724;17945;11250;13013;14483;20378;15477;20612;26893;8900;5334;10088;5563;6754;3700;8776;8906;5822;4097;3774;1755;20154;3321;6510;3770
20268;20128;22255;18981;19771;18380;18141;21457;24455;20013;21828;20269;19479;11616;13466;15093;20971;16202;21563;27870;8545;5270;9884;5269;6916;3680;8494;8238;6158;3809;3849;1835;20070;3421;6188;3810
20962;20809;22966;19951;20392;18944;18761;22148;25088;20871;22521;21046;21027;12111;13922;15724;21378;16518;22488;28702;8410;5418;10199;5375;7275;3737;8341;8409;6136;3911;3922;1882;20481;3579;6502;3920
21094;20920;23048;20360;20648;19157;19062;22411;25458;21096;22692;21567;21747;12592;14127;16119;21662;16934;22687;28726;7968;5412;10421;5409;7178;3695;8030;8566;6086;4038;3943;1957;20500;3489;6035;3982
21407;21163;23075;20683;20720;19140;19100;22291;25724;21586;22622;22008;22671;12998;14171;16320;22237;17486;23155;28977;7038;5481;10533;5476;7146;3831;7121;7696;6162;4112;4016;1997;20517;3588;6308;4084
21555;21295;23080;21053;20789;19088;19007;22267;25864;22050;22516;22763;23206;13742;13980;16553;22666;17881;23407;29459;7518;5472;10837;5614;7159;3937;7256;6996;6456;4166;4041;2130;20833;3757;6540;4160
22080;21955;23526;21879;21193;19284;19211;22696;26776;22943;22960;23307;23725;14313;14139;16823;23322;18298;23953;30200;7967;5713;11485;5831;7362;4084;8094;8156;6629;4434;4094;2273;21301;3917;7045;4306
22583;22305;24017;22479;21450;19417;19284;23114;27358;23627;23481;23810;24349;14611;14191;17145;23765;18706;24484;30842;8541;5824;12080;6022;7514;4313;8613;8868;6916;4588;4143;2424;21575;4126;7526;4490
23388;22867;24749;23434;21842;20041;19630;23867;27921;24602;24262;24285;24989;15392;14343;17552;24098;18927;24967;31358;9101;5988;12648;6340;7803;4596;8968;9602;7415;4718;4270;2612;21938;4397;7930;4698
24235;23497;25060;24651;22202;20547;19842;24756;28556;25377;25025;25002;25624;15827;14631;17849;24912;19269;25300;31655;9715;6285;13176;6690;7972;4950;9604;10290;7890;4739;4442;2810;22410;4651;8185;4914
24565;23701;24789;24694;22057;20801;19460;25112;28464;25181;25293;24602;24324;15778;14583;17734;25218;18875;25262;31251;9972;6542;13479;6840;7978;5376;10405;10672;7990;5005;4491;2952;22175;4882;8127;5048
23623;23020;23275;22562;21244;19790;18279;24073;27893;23878;24538;23489;22315;15244;14118;16928;25256;18843;24361;29899;9581;6457;13210;6854;7392;5365;10650;10176;7778;4948;4422;3154;20963;5011;7633;4943
24096;23557;23513;23290;21477;20661;18520;24303;27987;25306;25033;23777;22013;14691;14279;16797;25584;18886;24941;30491;10256;6879;13883;7063;7716;5774;11526;9874;7997;5050;4454;3372;21935;5360;8225;5080
