Albania;Austria;Belgium;Bulgaria;Switzerland;Germany;Denmark;Spain;Finland;France;United Kingdom;Greece;Hungary;Ireland;Italy;Netherlands;Norway;Poland;Portugal;Romania;Sweden;Turkey
2004;9747;10611;4773;16904;10839;12686;6319;9577;11410;10767;6211;5028;6199;9367;11967;10027;4428;5473;2853;12716;3078
2084;10200;10970;4902;17381;11077;12934;6618;9765;11845;10941;6624;5238;6354;9489;12319;10472;4707;5871;3221;12748;3282
2165;10771;11503;5110;17774;11481;13538;7099;10448;12264;11294;7400;5336;6663;9795;12597;10922;5010;6355;3396;13002;3412
2273;11235;12170;5284;18204;11966;13945;7661;11085;12824;12025;7655;5596;6867;10414;13081;11324;5340;7063;3477;13494;3477
2282;11658;12643;5414;18414;12063;13751;8149;11361;13113;11859;7350;5716;7042;10914;13497;11726;5601;7048;3637;13885;3665
2289;11646;12441;5831;17224;12041;13621;8346;11441;12957;11847;7722;5805;7316;10619;13374;12271;5808;6517;3761;14183;3895
2299;12201;13122;5982;17170;12684;14466;8599;11358;13466;12115;8105;5791;7302;11308;13885;12930;5895;6814;3917;14282;4138
2309;12767;13190;5896;17635;13072;14655;8833;11355;13913;12384;8255;6126;7795;11542;14177;13425;5949;7166;3966;14004;4224
2319;12731;13554;6019;17662;13455;14826;9023;11559;14240;12828;8695;6253;8250;11869;14424;13840;6111;7340;4063;14207;4255
2331;13448;13861;6245;18050;13993;15313;9068;12332;14634;13167;8904;6251;8366;12532;14647;14411;5942;7733;4148;14721;4133
2347;13759;14467;6044;18779;14114;15227;9203;12949;14766;12931;8971;6306;8541;12927;14705;15076;5740;8044;4135;14937;4022
2360;13718;14279;6186;18956;14149;15096;9186;13134;14840;12747;8896;6351;8716;13018;14525;15169;5385;8114;4087;14917;4087
2373;13961;14474;6370;18560;14040;15563;9293;13485;15132;12955;8879;6583;8821;13064;14291;15145;5288;8280;4072;15058;4182
2387;14394;14474;6237;18560;14329;15966;9478;13767;15245;13404;8866;6525;8740;13209;14483;15636;5498;8255;4027;15315;4230
2400;14439;14833;6430;19038;14783;16676;9571;14107;15382;13720;9067;6710;9056;13634;14900;16513;5650;8089;4178;15908;4367
2413;14752;14977;6226;19586;15140;17384;9722;14522;15530;14165;9316;6557;9306;14010;15283;17320;5660;8306;4159;16189;4485
2428;15081;15195;6380;19786;15469;17993;9998;14819;15833;14742;9440;6699;9265;14408;15617;17882;5797;8641;4215;16505;4695
2443;15313;15541;6382;19792;15701;18023;10520;15382;16158;15393;9375;6814;9698;14868;15737;18164;5683;9185;4110;16949;4998
2459;15754;16252;6335;20243;16160;18224;11046;16088;16790;16110;9784;7031;10234;15485;16044;18059;5789;9868;4085;17232;5086
2477;16360;16744;6216;20935;16558;18261;11582;16946;17300;16414;10111;6903;10880;15997;16695;18157;5684;10372;3941;17524;5041
2499;16895;17197;5597;21487;15929;18452;12055;16866;17647;16430;10015;6459;11818;16313;17262;18466;5113;10826;3511;17609;5399
1836;17263;17451;5198;21040;16650;18644;12327;15768;17724;16155;10204;5676;11969;16563;17548;18951;4738;11304;3065;17276;5346
1764;17409;17645;4884;20804;16891;18949;12413;15136;17880;16133;10201;5510;12275;16634;17720;19506;4842;11417;2803;16969;5562
1937;17339;17406;4936;20591;16645;18870;12259;14943;17666;16458;9982;5506;12533;16441;17824;19931;5011;11138;2852;16524;5902
2067;17670;17902;5078;20685;17028;19847;12528;15424;17978;17118;10136;5687;13191;16762;18223;20818;5265;11179;2971;17066;5482
2308;18096;18270;5285;20660;17299;20350;13132;15977;18262;17586;10321;5781;14389;17217;18697;21578;5623;11614;3192;17646;5775
2482;18512;18487;4844;20689;17420;20810;13423;16497;18373;18044;10543;5802;15387;17378;19248;22564;5970;12001;3331;17901;6073
2198;18918;19139;4628;21072;17709;21388;13912;17472;18690;19115;10902;6001;16858;17676;19973;23649;6388;12460;3141;18375;6421
2405;19613;19475;4870;21603;18029;21771;14483;18307;19233;19724;11250;6263;17945;17909;20631;24135;6704;13013;2999;19137;6510
2752;20268;20128;5137;21828;18380;22255;15093;18981;19771;20269;11616;6482;19479;18141;21457;24455;7008;13466;2971;20013;6188
2962;20962;20809;5483;22521;18944;22966;15724;19951;20392;21046;12111;6772;21027;18761;22148;25088;7309;13922;3047;20871;6502
3229;21094;20920;5770;22692;19157;23048;16119;20360;20648;21567;12592;7035;21747;19062;22411;25458;7399;14127;3225;21096;6035
3398;21407;21163;6099;22622;19140;23075;16320;20683;20720;22008;12998;7365;22671;19100;22291;25724;7509;14171;3396;21586;6308
3627;21555;21295;6497;22516;19088;23080;16553;21053;20789;22763;13742;7664;23206;19007;22267;25864;7804;13980;3583;22050;6540
3864;22080;21955;7000;22960;19284;23526;16823;21879;21193;23307;14313;8047;23725;19211;22696;26776;8226;14139;3898;22943;7045
4117;22583;22305;7513;23481;19417;24017;17145;22479;21450;23810;14611;8379;24349;19284;23114;27358;8529;14191;4069;23627;7526
4367;23388;22867;8072;24262;20041;24749;17552;23434;21842;24285;15392;8715;24989;19630;23867;27921;9065;14343;4398;24602;7930
4647;24235;23497;8666;25025;20547;25060;17849;24651;22202;25002;15827;8736;25624;19842;24756;28556;9684;14631;4686;25377;8185
5010;24565;23701;9279;25293;20801;24789;17734;24694;22057;24602;15778;8826;24324;19460;25112;28464;10186;14583;5040;25181;8127
5179;23623;23020;8841;24538;19790;23275;16928;22562;21244;23489;15244;8237;22315;18279;24073;27893;10356;14118;4719;23878;7633
5375;24096;23557;8946;25033;20661;23513;16797;23290;21477;23777;14691;8353;22013;18520;24303;27987;10762;14279;4653;25306;8225
